kata,1,2,3,4,5,6,7,8,9
sam,2,0,0,0,0,0,0,0,0
sham,2,0,0,0,0,0,0,0,0
miscellaneous,1,0,0,0,0,0,0,0,0
wooly,18,0,0,0,0,0,0,0,0
bully,17,0,0,0,0,0,0,0,0
pharaohs,1,0,0,0,0,0,0,0,0
domingo,1,0,0,0,0,0,0,0,0
samudio,1,0,0,0,0,0,0,0,0
uno,1,0,0,0,0,0,0,0,0
dos,1,0,0,0,0,0,0,0,0
one,1,0,0,0,0,0,6,2,1
two,2,0,0,0,0,0,0,0,0
tres,1,0,0,0,0,0,0,0,0
quatro,1,0,0,0,0,0,0,0,0
matty,3,0,0,0,0,0,0,0,0
told,3,0,0,0,0,0,0,0,0
hatty,3,0,0,0,0,0,0,0,0
thing,2,0,0,0,0,0,0,0,0
saw,1,0,0,0,0,0,0,1,0
big,1,0,0,0,0,0,0,0,0
horns,1,0,0,0,0,0,0,0,0
jaw,1,0,0,0,0,0,0,0,0
lets,3,0,0,0,0,0,0,0,0
dont,1,1,0,5,1,0,0,0,1
take,1,0,0,0,0,0,0,0,0
chance,1,0,0,0,0,0,0,0,0
belseven,1,0,0,0,0,0,0,0,0
come,1,2,0,0,0,0,0,0,0
learn,1,0,0,0,0,0,0,0,0
dance,1,0,0,0,0,0,0,0,0
thats,1,0,0,0,0,0,1,0,0
get,1,1,0,1,0,3,1,1,0
someone,1,0,0,0,1,1,0,0,0
really,1,0,0,0,0,0,0,0,0
pull,1,0,0,0,0,0,0,0,0
wool,1,0,0,0,0,0,0,0,0
lseven,1,0,0,0,0,0,0,0,0
letter,1,0,0,0,0,0,0,0,0
l,1,0,0,0,0,0,0,0,0
number,1,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0
typed,1,0,0,0,0,0,0,0,0
form,1,0,0,0,0,0,0,0,0
rough,1,0,0,0,0,0,0,0,0
square,1,0,0,0,0,0,0,0,0
l7,1,0,0,0,0,0,0,0,0
lyrics,1,0,0,0,0,0,0,0,0
mean,1,0,0,0,0,0,0,0,0
squar,1,0,0,0,0,0,0,0,0
sugar,0,2,0,0,0,0,0,0,0
pie,0,5,0,0,0,0,0,0,0
honey,0,5,0,0,0,0,0,0,1
bunch,0,5,0,0,0,0,0,0,0
know,0,3,0,1,2,2,0,1,0
love,0,7,0,8,0,0,6,0,0
cant,0,7,0,1,0,0,12,0,0
help,0,8,0,0,2,17,0,0,0
nobody,0,3,0,0,0,0,0,0,0
elsein,0,1,0,0,0,0,0,0,0
life,0,1,0,0,1,1,0,0,0
go,0,1,0,1,5,0,1,1,0
leaving,0,1,0,0,0,0,0,0,0
picture,0,1,0,0,0,0,0,0,0
behind,0,1,0,0,0,0,0,0,0
kissed,0,1,0,0,0,0,0,0,0
thousand,0,1,0,0,0,0,0,0,0
timeswhen,0,1,0,0,0,0,0,0,0
snap,0,1,0,0,0,0,0,0,0
finger,0,1,0,0,0,0,0,0,0
wink,0,1,0,0,0,0,0,0,0
eye,0,1,0,0,0,0,0,0,0
arunning,0,1,0,0,0,0,0,0,0
im,0,4,0,0,0,5,2,1,0
tied,0,1,0,0,0,0,0,0,0
apron,0,1,0,0,0,0,0,0,0
strings,0,1,0,0,0,0,0,0,0
theres,0,1,0,2,0,0,0,0,0
nothing,0,1,0,0,0,0,0,0,0
docant,0,1,0,0,0,0,0,0,0
myselfsugar,0,1,0,0,0,0,0,0,0
weaker,0,1,0,0,0,0,0,0,0
man,0,1,0,0,0,0,0,0,1
fool,0,1,0,0,0,0,0,0,0
seewanna,0,1,0,0,0,0,0,0,0
tell,0,2,0,0,0,0,0,0,0
ive,0,1,0,0,0,4,0,0,5
tried,0,1,0,0,0,0,0,0,0
every,0,1,0,0,1,1,1,0,0
time,0,1,0,0,0,0,2,0,0
see,0,1,0,0,1,0,2,0,0
face,0,1,0,0,0,0,0,0,0
choked,0,1,0,0,0,0,0,0,0
insidewhen,0,1,0,0,0,0,0,0,0
call,0,1,0,0,0,0,0,0,0
name,0,1,0,0,0,0,0,0,0
girl,0,1,0,0,0,0,0,0,15
starts,0,1,0,0,0,0,0,0,0
flame,0,1,0,0,0,0,0,0,0
burning,0,1,0,0,0,0,0,0,0
heart,0,1,0,0,0,0,0,0,0
tearing,0,1,0,0,0,0,0,0,0
apart,0,1,0,0,0,0,0,0,0
matter,0,1,0,0,0,0,0,0,0
try,0,1,0,0,0,0,0,0,0
cannot,0,1,0,0,0,0,0,0,0
hidecause,0,1,0,0,0,0,0,0,0
weak,0,1,0,0,0,0,0,0,0
elsesugar,0,2,0,0,0,0,0,0,0
anything,0,1,0,0,0,0,0,0,0
ask,0,1,0,0,0,0,0,0,0
want,0,1,0,0,0,0,0,0,0
woke,0,0,3,0,0,0,0,0,0
morning,0,0,3,0,0,0,0,0,0
mind,0,0,5,0,0,2,0,0,0
got,0,0,15,0,1,0,0,0,7
troubles,0,0,4,0,3,0,0,1,0
whoaoh,0,0,10,0,0,0,0,0,0
worries,0,0,4,0,1,0,0,0,0
wounds,0,0,3,0,0,0,0,0,0
bind,0,0,3,0,0,0,0,0,0
went,0,0,1,0,0,0,0,0,0
corner,0,0,1,0,0,0,0,0,0
ease,0,0,2,0,0,0,0,0,0
pains,0,0,2,0,0,0,0,0,0
yeah,0,0,2,1,0,0,0,0,0
came,0,0,1,0,0,0,0,0,0
home,0,0,1,0,0,0,0,0,0
miiiind,0,0,1,0,0,0,0,0,0
feelin,0,0,1,12,0,0,1,0,0
shooooooes,0,0,1,0,0,0,0,0,0
said,0,0,1,0,0,0,0,0,0
way,0,0,1,0,0,2,1,4,3
shooooes,0,0,1,0,0,0,0,0,0
ramble,0,0,1,0,0,0,0,0,0
move,0,0,1,0,0,0,1,0,0
walk,0,0,1,0,0,0,0,0,0
away,0,0,1,0,0,0,0,0,0
blues,0,0,1,0,0,0,0,0,0
never,0,0,0,1,1,3,0,1,0
close,0,0,0,1,1,0,0,0,0
eyes,0,0,0,2,0,0,0,0,0
anymore,0,0,0,1,0,0,0,0,0
kiss,0,0,0,1,0,0,0,0,0
lips,0,0,0,1,0,0,0,0,0
tenderness,0,0,0,1,0,0,0,0,0
like,0,0,0,3,1,1,0,0,0
fingertips,0,0,0,1,0,0,0,0,0
youre,0,0,0,2,4,0,7,0,0
trying,0,0,0,1,0,0,0,0,0
hard,0,0,0,1,0,0,0,0,0
show,0,0,0,1,0,0,0,0,0
baby,0,0,0,7,0,0,21,0,1
ityou,0,0,0,1,0,0,0,0,0
lost,0,0,0,4,0,0,0,0,0
lovin,0,0,0,12,0,0,0,0,0
whoa,0,0,0,4,0,0,0,0,0
gone,0,0,0,11,0,2,0,0,0
wohnow,0,0,0,1,0,0,0,0,0
welcome,0,0,0,1,0,0,0,0,0
look,0,0,0,1,0,0,0,0,0
reach,0,0,0,1,0,0,0,0,0
starting,0,0,0,1,0,0,0,0,0
criticize,0,0,0,1,0,0,0,0,0
little,0,0,0,1,1,0,0,0,0
things,0,0,0,1,3,0,0,0,0
makes,0,0,0,1,0,0,0,0,0
feel,0,0,0,1,0,1,1,0,3
crying,0,0,0,1,0,0,0,1,0
cause,0,0,0,3,0,0,3,0,0
something,0,0,0,1,0,0,0,0,0
beautifuls,0,0,0,1,0,0,0,0,0
dyinyou,0,0,0,1,0,0,0,0,0
wohbaby,0,0,0,1,0,0,0,0,0
id,0,0,0,1,0,0,0,0,0
knees,0,0,0,1,0,0,0,1,0
would,0,0,0,1,0,0,0,0,0
used,0,0,0,1,0,0,0,0,0
find,0,0,0,1,1,2,0,5,0
everyday,0,0,0,1,0,0,0,0,0
let,0,0,0,1,1,0,0,0,0
slip,0,0,0,1,0,0,0,0,0
awaybaby,0,0,0,1,0,0,0,0,0
beg,0,0,0,1,0,0,0,0,0
please,0,0,0,4,0,6,0,0,0
need,0,0,0,4,0,3,0,0,1
bring,0,0,0,6,0,0,0,0,0
back,0,0,0,7,0,3,0,0,0
backbring,0,0,0,1,0,0,0,0,0
wohbring,0,0,0,1,0,0,0,0,0
gon,0,0,0,1,0,0,0,0,0
alone,0,0,0,0,1,0,0,0,0
making,0,0,0,0,1,0,0,0,0
lonely,0,0,0,0,1,0,0,0,0
always,0,0,0,0,1,0,0,0,0
downtown,0,0,0,0,15,0,0,0,0
youve,0,0,0,0,1,0,0,0,0
noise,0,0,0,0,1,0,0,0,0
hurry,0,0,0,0,1,0,0,0,0
seems,0,0,0,0,1,1,0,0,0
downtownjust,0,0,0,0,2,0,0,0,0
listen,0,0,0,0,2,0,0,0,0
music,0,0,0,0,1,0,0,0,0
traffic,0,0,0,0,1,0,0,0,0
city,0,0,0,0,1,0,0,0,0
linger,0,0,0,0,1,0,0,0,0
sidewalk,0,0,0,0,1,0,0,0,0
neon,0,0,0,0,1,0,0,0,0
signs,0,0,0,0,1,0,0,0,0
pretty,0,0,0,0,1,0,0,0,0
lose,0,0,0,0,1,0,0,0,0
lights,0,0,0,0,3,0,0,0,0
much,0,0,0,0,2,2,0,0,1
brighter,0,0,0,0,2,0,0,0,0
forget,0,0,0,0,6,0,0,0,0
caresso,0,0,0,0,3,0,0,0,0
great,0,0,0,0,2,0,0,0,0
finer,0,0,0,0,1,0,0,0,0
place,0,0,0,0,1,0,0,0,0
sure,0,0,0,0,1,0,0,0,0
waiting,0,0,0,0,3,0,0,0,0
youdont,0,0,0,0,1,0,0,0,0
hang,0,0,0,0,1,0,0,0,0
around,0,0,0,0,1,0,1,0,0
problems,0,0,0,0,1,0,0,0,0
surround,0,0,0,0,1,0,0,0,0
movie,0,0,0,0,1,0,0,0,0
shows,0,0,0,0,1,0,0,0,0
maybe,0,0,0,0,2,0,0,0,0
places,0,0,0,0,1,0,0,0,0
rhythm,0,0,0,0,1,0,1,0,0
gentle,0,0,0,0,2,0,0,0,0
bossa,0,0,0,0,1,0,0,0,0
nova,0,0,0,0,1,0,0,0,0
youll,0,0,0,0,1,0,0,4,0
dancing,0,0,0,0,1,0,0,0,0
em,0,0,0,0,1,0,0,0,0
night,0,0,0,0,1,0,0,0,0
happy,0,0,0,0,1,0,0,2,0
bright,0,0,0,0,1,0,0,0,0
tonight,0,0,0,0,1,0,0,0,0
gonna,0,0,0,0,1,0,2,0,0
alright,0,0,0,0,1,0,0,0,0
nowdowntownand,0,0,0,0,1,0,0,0,0
may,0,0,0,0,1,0,0,0,2
somebody,0,0,0,0,1,1,0,0,0
kind,0,0,0,0,1,0,0,0,0
understand,0,0,0,0,1,0,0,0,0
needs,0,0,0,0,1,0,0,0,0
hand,0,0,0,0,1,0,0,0,0
guide,0,0,0,0,1,0,0,0,0
along,0,0,0,0,1,0,0,0,0
ill,0,0,0,0,1,0,0,1,0
wait,0,0,0,0,1,0,0,0,0
minute,0,0,0,0,1,0,0,0,0
everything,0,0,0,0,1,0,0,0,0
anybody,0,0,0,0,0,1,0,0,0
younger,0,0,0,0,0,4,0,0,0
today,0,0,0,0,0,2,0,0,0
needed,0,0,0,0,0,2,0,0,0
anybodys,0,0,0,0,0,2,0,0,0
days,0,0,0,0,0,2,0,0,0
selfassured,0,0,0,0,0,2,0,0,0
changed,0,0,0,0,0,3,0,0,0
opened,0,0,0,0,0,2,0,0,0
doors,0,0,0,0,0,2,0,0,0
feeling,0,0,0,0,0,3,0,0,0
appreciate,0,0,0,0,0,3,0,0,0
round,0,0,0,0,0,3,0,0,0
feet,0,0,0,0,0,3,0,0,0
ground,0,0,0,0,0,3,0,0,0
wont,0,0,0,0,0,3,0,0,0
oh,0,0,0,0,0,1,0,0,0
many,0,0,0,0,0,1,0,0,0
ways,0,0,0,0,0,1,0,0,0
independence,0,0,0,0,0,1,0,0,0
vanish,0,0,0,0,0,1,0,0,0
haze,0,0,0,0,0,1,0,0,0
insecure,0,0,0,0,0,1,0,0,0
done,0,0,0,0,0,1,0,0,0
ooo,0,0,0,0,0,1,0,0,0
carterlewis,0,0,0,0,0,0,1,0,0
lookin,0,0,0,0,0,0,1,0,0
hear,0,0,0,0,0,0,12,0,0
heartbeat,0,0,0,0,0,0,12,0,0
car,0,0,0,0,0,0,1,0,0
walking,0,0,0,0,0,0,1,0,0
highway,0,0,0,0,0,0,1,0,0
closer,0,0,0,0,0,0,1,0,0
ooowee,0,0,0,0,0,0,1,0,0
poundin,0,0,0,0,0,0,3,0,0
put,0,0,0,0,0,0,1,0,0
arms,0,0,0,0,0,0,1,0,0
glad,0,0,0,0,0,0,2,0,0
mighty,0,0,0,0,0,0,1,0,0
found,0,0,0,0,0,0,1,0,0
asked,0,0,0,0,0,0,1,0,0
meet,0,0,0,0,0,0,2,0,0
knew,0,0,0,0,0,0,1,0,0
wed,0,0,0,0,0,0,1,0,0
going,0,0,0,0,0,0,1,0,0
far,0,0,0,0,0,0,1,0,0
guitar,0,0,0,0,0,0,1,0,0
friends,0,0,0,0,0,0,1,0,0
cryin,0,0,0,0,0,0,1,0,0
nows,0,0,0,0,0,0,1,0,0
preacher,0,0,0,0,0,0,1,0,0
wedding,0,0,0,0,0,0,1,0,0
bells,0,0,0,0,0,0,1,0,0
chime,0,0,0,0,0,0,1,0,0
mine,0,0,0,0,0,0,1,0,0
chapel,0,0,0,0,0,0,0,5,0
tears,0,0,0,0,0,0,0,2,0
shed,0,0,0,0,0,0,0,1,0
joy,0,0,0,0,0,0,0,1,0
meaning,0,0,0,0,0,0,0,1,0
contentment,0,0,0,0,0,0,0,1,0
lordjust,0,0,0,0,0,0,0,1,0
plain,0,0,0,0,0,0,0,1,0
simple,0,0,0,0,0,0,0,1,0
bumble,0,0,0,0,0,0,0,1,0
people,0,0,0,0,0,0,0,2,0
pray,0,0,0,0,0,0,0,2,0
prayed,0,0,0,0,0,0,0,1,0
lord,0,0,0,0,0,0,0,1,0
grow,0,0,0,0,0,0,0,1,0
stronger,0,0,0,0,0,0,0,1,0
live,0,0,0,0,0,0,0,1,0
day,0,0,0,0,0,0,0,1,2
dayi,0,0,0,0,0,0,0,1,0
searched,0,0,0,0,0,0,0,4,0
couldnt,0,0,0,0,0,0,0,1,0
earth,0,0,0,0,0,0,0,2,0
gain,0,0,0,0,0,0,0,1,0
peace,0,0,0,0,0,0,0,2,0
mindnow,0,0,0,0,0,0,0,1,0
accord,0,0,0,0,0,0,0,2,0
yes,0,0,0,0,0,0,0,1,0
gather,0,0,0,0,0,0,0,1,0
sing,0,0,0,0,0,0,0,1,0
praise,0,0,0,0,0,0,0,1,0
lordyoull,0,0,0,0,0,0,0,1,0
search,0,0,0,0,0,0,0,2,0
mindtake,0,0,0,0,0,0,0,1,0
burdens,0,0,0,0,0,0,0,1,0
lighter,0,0,0,0,0,0,0,1,0
surely,0,0,0,0,0,0,0,2,0
sunshine,0,0,0,0,0,0,0,0,2
cloudy,0,0,0,0,0,0,0,0,2
cold,0,0,0,0,0,0,0,0,1
outside,0,0,0,0,0,0,0,0,1
moth,0,0,0,0,0,0,0,0,1
well,0,0,0,0,0,0,0,0,3
guess,0,0,0,0,0,0,0,0,3
say,0,0,0,0,0,0,0,0,3
make,0,0,0,0,0,0,0,0,3
talkin,0,0,0,0,0,0,0,0,5
bout,0,0,0,0,0,0,0,0,5
bees,0,0,0,0,0,0,0,0,1
envy,0,0,0,0,0,0,0,0,1
sweeter,0,0,0,0,0,0,0,0,1
song,0,0,0,0,0,0,0,0,1
birds,0,0,0,0,0,0,0,0,1
trees,0,0,0,0,0,0,0,0,1
money,0,0,0,0,0,0,0,0,1
fortune,0,0,0,0,0,0,0,0,1
fame,0,0,0,0,0,0,0,0,1
riches,0,0,0,0,0,0,0,0,1
claim,0,0,0,0,0,0,0,0,1
even,0,0,0,0,0,0,0,0,1
month,0,0,0,0,0,0,0,0,1
talk,0,0,0,0,0,0,0,0,1
